pipeline_id,cluster,request_received,original_start_date,request_type,client_priority,client,engagement_manager,likely_start_date,start_date_confirmed,number_of_weeks_raw,deal_stage,solution,priority,status,resources_requested_raw,pct_raw,skillset,sow_signed_raw,comments,canonical_role,allocation_pct,sow_signed,demand_bucket,duration_weeks,likely_end_date
PIPE_0014,4,,20-04-2026,,,,,06-07-2026,,,,Core Reporting,High,Not Resourced,SAC,100,,No,strong SAC with business process change experience - one SAC for the dashboard design and one SAC for business process change (an additional workstream that is not typically included in our D&D phase.,Senior Associate Consultant,100.0,False,speculative,16.0,26-10-2026
PIPE_0015,4,,20-04-2026,,,,,06-07-2026,,,,,High,Not Resourced,Sol Con,100,"GraphQL, JavaScript, API Security best practices",No,Discovery & Design experience,Solution Consultant,100.0,False,speculative,16.0,26-10-2026
PIPE_0016,4,,20-04-2026,,,,,06-07-2026,,,,,High,Not Resourced,Enabler ,100,"Kubernetes, security groups, Tracing",No,Discovery & Design experience,Solutions Enabler,100.0,False,speculative,16.0,26-10-2026
PIPE_0017,4,,20-04-2026,,,,,06-07-2026,,,,,High,Not Resourced,SSE,100,"Retry & exponential backoff logic, User-agent rotation, Audit logging for traceability",No,with data gap assessment or Discovery & Design experience (100%),Senior Software Engineer,100.0,False,speculative,16.0,26-10-2026
PIPE_0018,5,26-03-2026,20-04-2026,New,Gold,HD,XYXY,20-07-2026,No,5,Build the Proposition,Core Reporting,Low,Part Resourced,AP,12.5,,No,,Associate Partner,12.5,False,speculative,5.0,24-08-2026
PIPE_0019,5,,20-04-2026,,,,,20-07-2026,,,,,Low,Part Resourced,M,50,,No,,Manager,50.0,False,speculative,16.0,09-11-2026
PIPE_0020,5,,20-04-2026,,,,,20-07-2026,,,,,Low,Part Resourced,SC  ,50,,No,,Solution Consultant,50.0,False,speculative,16.0,09-11-2026
PIPE_0021,5,,20-04-2026,,,,,20-07-2026,,,,,Low,Part Resourced,SAC,100,,No,could we use AC?,Senior Associate Consultant,100.0,False,speculative,16.0,09-11-2026
PIPE_0022,5,,20-04-2026,,,,,20-07-2026,,,,,Low,Not Resourced,PA,25,,No,,Associate Partner,25.0,False,speculative,16.0,09-11-2026
PIPE_0023,5,,20-04-2026,,,,,20-07-2026,,,,,Low,Not Resourced,Sol Con,100,"Azure, Lakehouse & Warehouse Architecture patterns, Lakehouse & Warehouse Architecture patterns",No,,Solution Consultant,100.0,False,speculative,16.0,09-11-2026
PIPE_0024,3,24-02-2026,09-03-2026,New,Other,Alpha,XYXY,31-08-2026,No,3,,Exit Support,Low,Not Resourced,P,12.5,,Yes,,Principal,12.5,True,confirmed,3.0,21-09-2026
PIPE_0025,3,,09-03-2026,,,,,31-08-2026,,,,,Low,Not Resourced,PA,25,,Yes,,Associate Partner,25.0,True,confirmed,16.0,21-12-2026
PIPE_0026,3,,09-03-2026,,,,,31-08-2026,,,,,Low,Not Resourced,EM,50,,Yes,Already assigned to PureFin - has 50% available,Solution Consultant,50.0,True,confirmed,16.0,21-12-2026
PIPE_0027,3,,09-03-2026,,,,,31-08-2026,,,,,Low,Not Resourced,SAC,100,,Yes,,Senior Associate Consultant,100.0,True,confirmed,16.0,21-12-2026
PIPE_0028,3,,09-03-2026,,,,,31-08-2026,,,,,Low,Not Resourced,AC,100,,Yes,new hire ,Associate Consultant,100.0,True,confirmed,16.0,21-12-2026
PIPE_0029,3,,09-03-2026,,,,,31-08-2026,,,,,Low,Not Resourced,Sol Con,100,"Bicep, Policy as code, Network Security",Yes,,Solution Consultant,100.0,True,confirmed,16.0,21-12-2026
PIPE_0030,3,,09-03-2026,,,,,31-08-2026,,,,,Low,Not Resourced,SSE,100,"Tracing, security groups, REST APIs",Yes,,Senior Software Engineer,100.0,True,confirmed,16.0,21-12-2026
PIPE_0031,3,,18-05-2026,,Gold,Pappa Jones,,01-07-2026,,,Build the Proposition,,Low,Not Resourced,SAC,100,,No,,Senior Associate Consultant,100.0,False,speculative,16.0,21-10-2026
PIPE_0032,5,16-04-2026,18-05-2026,Next Phase,Gold,Mcd,,20-07-2026,No,7,Signed,Due Diligence,Low,Not Resourced,AC,100,,No,,Associate Consultant,100.0,False,speculative,7.0,07-09-2026
PIPE_0033,5,,18-05-2026,,Gold,,,20-07-2026,,,,,Low,Not Resourced,Enabler,100,"CI/CD Pipelines, Mobile-friendly architecture, Agile manifesto & principles",No,,Solutions Enabler,100.0,False,speculative,16.0,09-11-2026
PIPE_0034,5,,18-05-2026,,Gold,,,20-07-2026,,,,,Low,Not Resourced,SE ,100,"Business Acumen - Understanding of business processes and metrics to align BI solutions with business goals and strategies., Time Management - Strong organizational skills to manage multiple projects and priorities., Business Acumen - Understanding of business processes and metrics to align BI solutions with business goals and strategies.",No,,Software Engineer,100.0,False,speculative,16.0,09-11-2026
PIPE_0035,5,23-04-2026,18-05-2026,,Silver,Pepsi,,13-07-2026,No,16,,Exit Support,High,Not Resourced,SC,25,,No,,Solution Consultant,25.0,False,speculative,16.0,02-11-2026
PIPE_0036,5,,18-05-2026,,Silver,,,13-07-2026,,,,,High,Not Resourced,SAC,100,,No,,Senior Associate Consultant,100.0,False,speculative,16.0,02-11-2026
PIPE_0037,5,,18-05-2026,,Silver,,,13-07-2026,,,,,High,Not Resourced,PA,12.5,,No,,Associate Partner,12.5,False,speculative,16.0,02-11-2026
PIPE_0038,5,,18-05-2026,,Silver,,,13-07-2026,,,,,High,Not Resourced,Sol Con,50,"Dimensional, Lakehouse & Warehouse Architecture patterns, Snowflake with dbt",No,,Solution Consultant,50.0,False,speculative,16.0,02-11-2026
PIPE_0039,5,,18-05-2026,,Silver,,,13-07-2026,,,,,High,Not Resourced,Enabler,100,"Dimensional, AWS, Data observability",No,,Solutions Enabler,100.0,False,speculative,16.0,02-11-2026
PIPE_0040,5,,18-05-2026,,Silver,,,13-07-2026,,,,,High,Not Resourced,SSE,100,"MLflow, Multi-agent orchestration, EDA",No,,Senior Software Engineer,100.0,False,speculative,16.0,02-11-2026
PIPE_0041,5,,18-05-2026,,Silver,,,13-07-2026,,,,,High,Not Resourced,SE,100,"Logging, Policy as code, integrations",No,,Software Engineer,100.0,False,speculative,16.0,02-11-2026
PIPE_0042,5,,18-05-2026,,Silver,,,13-07-2026,,,,,High,Not Resourced,SE,12.5,"Nest, Docker, Redis",No,DevOps Engineer,Software Engineer,12.5,False,speculative,16.0,02-11-2026
PIPE_0043,2,06-05-2026,26-05-2026,Next Phase,Gold,Sempra,,13-07-2026,No,6,Propose & Negotiate,Value Creation,Low,Part Resourced ,P,12.5,,No,Data Scientist Engineer,Principal,12.5,False,speculative,6.0,24-08-2026
PIPE_0044,2,,26-05-2026,,Gold,,,13-07-2026,,,,,Low,Part Resourced ,EM,50,,No,Data Scientist Engineer,Solution Consultant,50.0,False,speculative,16.0,02-11-2026
PIPE_0045,2,,26-05-2026,,Gold,,,13-07-2026,,,,,Low,Not Resourced,SAC/AC,100,,No,SAC or Experienced AC has led workstreams independently,Associate Consultant,100.0,False,speculative,16.0,02-11-2026
PIPE_0046,2,,26-05-2026,,Gold,,,13-07-2026,,,,,Low,Not Resourced,PA,25,,No,(all - or as much as possible - Data Science & ML CoE,Associate Partner,25.0,False,speculative,16.0,02-11-2026
PIPE_0047,2,,26-05-2026,,Gold,,,13-07-2026,,,,,Low,Not Resourced,Enabler,100,"Time Management - Strong organizational skills to manage multiple projects and priorities., SQL Proficiency-Ability to write complex queries and optimize them for performance., Business Acumen - Understanding of business operations and financial principles.",No,(all - or as much as possible - Data Science & ML CoE,Solutions Enabler,100.0,False,speculative,16.0,02-11-2026
PIPE_0048,2,,26-05-2026,,Gold,,,13-07-2026,,,,,Low,Not Resourced,SSE,100,"Prompt templates and reusable prompts, Survival Analysis (CPH), Pandas, Numpy",No,(all - or as much as possible - Data Science & ML CoE,Senior Software Engineer,100.0,False,speculative,16.0,02-11-2026
PIPE_0049,2,,26-05-2026,,Gold,,,13-07-2026,,,,,Low,Part Resourced ,SSE,100,"Multi-agent orchestration, Amazon S3, Chroma",No,Free of charge (will be covered by Navya as part of utilisation workstream) ,Senior Software Engineer,100.0,False,speculative,16.0,02-11-2026
PIPE_0050,2,,26-05-2026,,Gold,,,13-07-2026,,,,,Low,Not Resourced,SE,100,"Technical Skills - Familiarity with relevant tools and technologies specific to the consulting field.

Proficiency in data analysis software, project management tools, or CRM systems., Understanding of how to handle large volumes of data. - Handelling large data volumes, Technical Skills - Familiarity with relevant tools and technologies specific to the consulting field.

Proficiency in data analysis software, project management tools, or CRM systems.",No,(all - or as much as possible - Data Science & ML CoE,Software Engineer,100.0,False,speculative,16.0,02-11-2026
PIPE_0051,4,08-05-2026,01-06-2026,New Request,Bronze,Tata,,06-07-2026,No*,4,Build the Proposition,Due Diligence,Medium,Not Resourced,AP,12.5,,No,,Associate Partner,12.5,False,speculative,4.0,03-08-2026
PIPE_0052,4,,01-06-2026,,Bronze,,,06-07-2026,,,,,Medium,Not Resourced,P,37.5,,No,,Principal,37.5,False,speculative,16.0,26-10-2026
PIPE_0053,4,,01-06-2026,,Bronze,,,06-07-2026,,,,,Medium,Not Resourced,C,50,,No,"strong commercial sense, client engagement, engagement management",Consultant,50.0,False,speculative,16.0,26-10-2026
PIPE_0054,4,,01-06-2026,,Bronze,,,06-07-2026,,,,,Medium,Not Resourced,AC,100,,No,"strong commercial sense, problem solving, slide writing, client engagement",Associate Consultant,100.0,False,speculative,16.0,26-10-2026
PIPE_0055,4,,01-06-2026,,Bronze,,,06-07-2026,,,,,Medium,Not Resourced,PA,37.5,,No,,Associate Partner,37.5,False,speculative,16.0,26-10-2026
PIPE_0056,4,,01-06-2026,,Bronze,,,06-07-2026,,,,,Medium,Not Resourced,SE,100,"Vertex AI, AutoGen, Amazon SageMaker",No,experience with data gap assessment and data due diligence preferred,Software Engineer,100.0,False,speculative,16.0,26-10-2026
PIPE_0057,5,14-05-2026,01-06-2026,New Request,Other,Kawasaki,,22-06-2026,No,8,Build the Proposition,Core Reporting,Complete,Resourced,P,12.5,,No,,Principal,12.5,False,speculative,8.0,17-08-2026
PIPE_0058,5,14-05-2026,01-06-2026,,Other,,,22-06-2026,,,,,Complete,Resourced,PA,12.5,,No,,Associate Partner,12.5,False,speculative,16.0,12-10-2026
PIPE_0059,5,14-05-2026,01-06-2026,,Other,,,22-06-2026,,,,,Urgent,Not Resourced,SC,50,,No,,Solution Consultant,50.0,False,speculative,16.0,12-10-2026
PIPE_0060,5,14-05-2026,01-06-2026,,Other,,,22-06-2026,,,,,Urgent,Not Resourced,SAC,100,,No,Safa elsewhere,Senior Associate Consultant,100.0,False,speculative,16.0,12-10-2026
PIPE_0061,5,14-05-2026,01-06-2026,,Other,,,29-06-2026,,,,,Urgent,Not Resourced,Enabler,100,"Data Governance and Security - data governance & security principles and best practices., SQL Proficiency-Ability to write complex queries and optimize them for performance., Time Management - Strong organizational skills to manage multiple projects and priorities.",No,Snowflake experience ,Solutions Enabler,100.0,False,speculative,16.0,19-10-2026
PIPE_0062,5,14-05-2026,01-06-2026,,Other,,,29-06-2026,,,,,Urgent,Not Resourced,SSE,100,"Antigravity, ShadCN, Next.JS",No,,Senior Software Engineer,100.0,False,speculative,16.0,19-10-2026
PIPE_0063,5,14-05-2026,01-06-2026,,Other,,,29-06-2026,,,,,Urgent,Not Resourced,SE,100,"Redis, Tailwind, Webassembly basics",No,,Software Engineer,100.0,False,speculative,16.0,19-10-2026
PIPE_0064,2,15-05-2026,01-06-2026,New Request,Other,Honda,,29-06-2026,,,,,High,Not Resourced,SSE  ,100,"Workspace, environment & compute management, Version control (Git), Source Vs target reconciliation",No,,Senior Software Engineer,100.0,False,speculative,16.0,19-10-2026
PIPE_0065,5,15-05-2026,25-05-2026,Next Phase,Silver,KTM,,22-06-2026,Yes,12,,Core Reporting,Urgent,Part Resourced ,P,50,,No,,Principal,50.0,False,speculative,12.0,14-09-2026
PIPE_0066,5,15-05-2026,25-05-2026,,Silver,,,22-06-2026,,,,Exit Support,Urgent,Not Resourced,C ,50,,No,,Consultant,50.0,False,speculative,16.0,12-10-2026
PIPE_0067,5,15-05-2026,25-05-2026,,Silver,,,22-06-2026,,,,,Urgent,Not Resourced,PA,25,,No,,Associate Partner,25.0,False,speculative,16.0,12-10-2026
PIPE_0068,5,15-05-2026,25-05-2026,,Silver,,,22-06-2026,,,,,Urgent,Not Resourced,SAC or AC,100,,No,Preferences for Power BI + Customer Tool experience - strong end to end build phase experience ,Associate Consultant,100.0,False,speculative,16.0,12-10-2026
PIPE_0069,5,15-05-2026,25-05-2026,,Silver,,,22-06-2026,,,,,Urgent,Not Resourced,Sol Con,100,"Logging, Kubernetes, Bicep",No,Fabric front end and power Bi,Solution Consultant,100.0,False,speculative,16.0,12-10-2026
PIPE_0070,5,15-05-2026,25-05-2026,,Silver,,,22-06-2026,,,,,Urgent,Not Resourced,SSE  ,100,"Google Stitch, Kubernets, Agile manifesto & principles",No,,Senior Software Engineer,100.0,False,speculative,16.0,12-10-2026
PIPE_0071,5,15-05-2026,25-05-2026,,Silver,,,22-06-2026,,,,,Urgent,Not Resourced,SE,100,"Indexing basics, Dashboard troubleshooting, Rate limiting & throttling strategies",No,strong Senior Software Engineer with end to end build experience- Fabric,Software Engineer,100.0,False,speculative,16.0,12-10-2026
PIPE_0072,5,26-03-2026,27-04-2026,New,Gold,KIA,,22-06-2026,No,5,SOW with Customer,,Urgent,Resourced,AP,12.5,,Yes,,Associate Partner,12.5,True,confirmed,5.0,27-07-2026
PIPE_0073,5,26-03-2026,27-04-2026,,Gold,,,22-06-2026,,,,,Urgent,Resourced,M,50,,Yes,,Manager,50.0,True,confirmed,16.0,12-10-2026
PIPE_0074,5,26-03-2026,27-04-2026,,Gold,,,22-06-2026,,,,,Urgent,Resourced,C,100,,Yes,,Consultant,100.0,True,confirmed,16.0,12-10-2026
PIPE_0075,5,26-03-2026,27-04-2026,,Gold,,,22-06-2026,,,,,Urgent,Not Resourced,PA,25,,Yes,,Associate Partner,25.0,True,confirmed,16.0,12-10-2026
PIPE_0076,5,26-03-2026,27-04-2026,,Gold,,,22-06-2026,,,,,Urgent,Not Resourced,Sol Con,100,"SAST & DAST, integrations, VPCs",Yes,Sol Con 100 or Sol Con 50 + SE 100,Solution Consultant,100.0,True,confirmed,16.0,12-10-2026
PIPE_0077,5,26-03-2026,27-04-2026,,Gold,,,22-06-2026,,,,,Urgent,Not Resourced,SE,100,"Understanding of how to handle large volumes of data. - Handelling large data volumes, Project Management - Skills in planning, executing, and managing projects to meet deadlines and manage resources effectively., Time Management - Strong organizational skills to manage multiple projects and priorities.",Yes,,Software Engineer,100.0,True,confirmed,16.0,12-10-2026
PIPE_0078,5,20-05-2026,31-08-2026,,Bronze,Hyundai,,31-08-2026,Yes,,Deal Won ,,High,Not Resourced,P,12.5,,Yes,,Principal,12.5,True,confirmed,16.0,21-12-2026
PIPE_0079,5,20-05-2026,31-08-2026,,Bronze,,,31-08-2026,,,,,High,Not Resourced,M,12.5,,Yes,,Manager,12.5,True,confirmed,16.0,21-12-2026
PIPE_0080,5,20-05-2026,31-08-2026,,Bronze,,,31-08-2026,,8,,,High,Not Resourced,Snr Sol Con,50,"Logging, Kubernetes, Bicep",Yes,,Senior Solution Consultant,50.0,True,confirmed,8.0,26-10-2026
PIPE_0081,5,20-05-2026,31-08-2026,,Bronze,,,31-08-2026,,,,,High,Not Resourced,Enabler,100,"Industry Knowledge - Understanding of the specific industry or market, industry trends, challenges, and best practices., Industry Knowledge - Understanding of the specific industry or market, industry trends, challenges, and best practices., Understanding of how to handle large volumes of data. - Handelling large data volumes",Yes,,Solutions Enabler,100.0,True,confirmed,16.0,21-12-2026
PIPE_0082,5,20-05-2026,31-08-2026,,Bronze,,,31-08-2026,,,,,High,Not Resourced,SSE,100,"Matplotlib and pandas, Data privacy tools, Model serving",Yes,,Senior Software Engineer,100.0,True,confirmed,16.0,21-12-2026
PIPE_0083,3,23-05-2026,08-06-2026,New Request,Bronze,BMW,,06-07-2026,No,4,SOW Pending Signature,Data Advisory,Low,Not Resourced,P,12.5,,No,,Principal,12.5,False,speculative,4.0,03-08-2026
PIPE_0084,3,23-05-2026,08-06-2026,,Bronze,,,06-07-2026,,,,,Low,Not Resourced,SC,50,,No,,Solution Consultant,50.0,False,speculative,16.0,26-10-2026
PIPE_0085,3,23-05-2026,08-06-2026,,Bronze,,,06-07-2026,,,,,Low,Not Resourced,AC,100,,No,,Associate Consultant,100.0,False,speculative,16.0,26-10-2026
PIPE_0086,3,23-05-2026,08-06-2026,,Bronze,,,06-07-2026,,,,,Low,Not Resourced,PA,25,,No,,Associate Partner,25.0,False,speculative,16.0,26-10-2026
PIPE_0087,3,23-05-2026,08-06-2026,,Bronze,,,06-07-2026,,,,,Low,Not Resourced,Sol Con,100,"Docker, Next.JS, Edge functions",No,Check Ajeeth's leave to make sure this will work,Solution Consultant,100.0,False,speculative,16.0,26-10-2026
PIPE_0088,3,23-05-2026,08-06-2026,,Bronze,,,06-07-2026,,,,,Low,Not Resourced,SSE,100,"Pinecone, Mlib, Evaluation & Monitoring- LangSmith",No,,Senior Software Engineer,100.0,False,speculative,16.0,26-10-2026
PIPE_0089,3,23-05-2026,08-06-2026,,Bronze,,,06-07-2026,,,,,Low,Not Resourced,SSE,100,"Technical Skills - Familiarity with relevant tools and technologies specific to the consulting field.

Proficiency in data analysis software, project management tools, or CRM systems., Understanding of how to handle large volumes of data. - Handelling large data volumes, Business Acumen - Understanding of business processes and metrics to align BI solutions with business goals and strategies.",No,,Senior Software Engineer,100.0,False,speculative,16.0,26-10-2026
PIPE_0090,3,23-05-2026,08-06-2026,New Request,Bronze,Triumph,,22-06-2026,Yes,2,Propose & Negotiate,Data Advisory,Urgent,Resourced,SC,12.5,,No,EM across DSN,Solution Consultant,12.5,False,speculative,2.0,06-07-2026
PIPE_0091,3,23-05-2026,08-06-2026,,Bronze,,,22-06-2026,,,,,Urgent,Not Resourced,SSE  ,100,"Logging & alerting, Multi-job execution control, JSON / API extraction",No,Data engineering,Senior Software Engineer,100.0,False,speculative,16.0,12-10-2026
PIPE_0092,3,23-05-2026,08-06-2026,,Bronze,,,22-06-2026,,,,,Urgent,Not Resourced,SSE  ,100,"Branching, OAuth 2.0, Express.JS",No,Ai ,Senior Software Engineer,100.0,False,speculative,16.0,12-10-2026
PIPE_0093,3,23-05-2026,08-06-2026,,Bronze,,,22-06-2026,,,,,Urgent,Not Resourced,SE  ,100,"SCD basics, Playwright & Selenium, Scrapy",No,Updating to SE based on current consultant availability - 3 June ,Software Engineer,100.0,False,speculative,16.0,12-10-2026
PIPE_0094,3,23-05-2026,08-06-2026,,Bronze,,,22-06-2026,,,,,Urgent,Not Resourced,SE  ,100,"Proxy configuration, Change detection, Audit logging for traceability",No,Updating to SE based on current consultant availability - 3 June ,Software Engineer,100.0,False,speculative,16.0,12-10-2026
PIPE_0095,3,23-05-2026,08-06-2026,New Request,Bronze,Yamaha,,06-07-2026,Yes,9,Opportunity Inception,Core Reporting,Low,Resourced,SC,12.5,,No,EM across DSN,Solution Consultant,12.5,False,speculative,9.0,07-09-2026
PIPE_0096,3,23-05-2026,08-06-2026,,Bronze,,,06-07-2026,,,,,Low,Not Resourced,C,100,,No,,Consultant,100.0,False,speculative,16.0,26-10-2026
PIPE_0097,3,23-05-2026,08-06-2026,,Bronze,,,06-07-2026,,,,,Low,Not Resourced,SE,100,"Data Warehousing- Understanding of data warehousing concepts and architecture., Programming Languages - Familiarity with scripting languages for automation., Communication Skills - Ability to present findings and insights to technical and non-technical stakeholders.",No,Platform Engineer,Software Engineer,100.0,False,speculative,16.0,26-10-2026
PIPE_0098,3,23-05-2026,08-06-2026,,Bronze,,,06-07-2026,,,,,Low,Not Resourced,SSE  ,100,"Data Modelling - Skills in designing and implementing data models., Industry Knowledge - Understanding of the specific industry or market, industry trends, challenges, and best practices., Industry Knowledge - Understanding of the specific industry or market, industry trends, challenges, and best practices.",No,From D&D phase,Senior Software Engineer,100.0,False,speculative,16.0,26-10-2026
PIPE_0099,3,23-05-2026,08-06-2026,,Bronze,,,06-07-2026,,,,,Low,Not Resourced,SSE  ,100,"Kubeflow, AI Document Processing Platforms - AWS Textract, ML Flow",No,From D&D phase,Senior Software Engineer,100.0,False,speculative,16.0,26-10-2026
PIPE_0100,3,23-05-2026,08-06-2026,,Bronze,,,06-07-2026,,,,,Low,Not Resourced,SE  ,100,"security groups, Network Security, SAST & DAST",No,From D&D phase,Software Engineer,100.0,False,speculative,16.0,26-10-2026
PIPE_0101,3,23-05-2026,08-06-2026,,Bronze,,,06-07-2026,,,,,Low,Not Resourced,SE  ,100,"Programming Languages - Familiarity with scripting languages for automation., Business Acumen - Understanding of business processes and metrics to align BI solutions with business goals and strategies., Data Warehousing- Understanding of data warehousing concepts and architecture.",No,From D&D phase,Software Engineer,100.0,False,speculative,16.0,26-10-2026
PIPE_0102,1,,08-06-2026,,,Lexus,,08-06-2026,,,,,Urgent,Not Resourced,SE,100,"LlamaIndex, Survival Analysis (CPH), ML Flow",No,,Software Engineer,100.0,False,speculative,16.0,28-09-2026
PIPE_0103,2,02-06-2026,08-06-2026,New Request,Gold,BYD,,29-06-2026,No,4,SOW Pending Signature,Value Creation,High,Not Resourced,P,50,,No,,Principal,50.0,False,speculative,4.0,27-07-2026
PIPE_0104,2,02-06-2026,08-06-2026,,Gold,,,29-06-2026,,,,,High,Not Resourced,SC (EM),50,,No," tbd in cluster, likely best fit is Ethan Francis",Solution Consultant,50.0,False,speculative,16.0,19-10-2026
PIPE_0105,2,02-06-2026,08-06-2026,,Gold,,,29-06-2026,,,,,High,Not Resourced,C  ,100,,No,potentially timing would work with Freddie Merret coming off HKA,Consultant,100.0,False,speculative,16.0,19-10-2026
PIPE_0106,2,,08-06-2026,,,,,29-06-2026,,,,,High,Not Resourced,SC  ,50,,No,,Solution Consultant,50.0,False,speculative,16.0,19-10-2026
PIPE_0107,2,02-06-2026,08-06-2026,,Gold,,,29-06-2026,,,,,High,Not Resourced,SSE,100,"Pipeline design principles, Workspace, environment & compute management, Project scoping & planning",No,Data Scientist Engineer,Senior Software Engineer,100.0,False,speculative,16.0,19-10-2026
PIPE_0108,2,02-06-2026,08-06-2026,,Gold,,,29-06-2026,,,,,High,Not Resourced,SSE,100,"Programming Languages - Familiarity with scripting languages for automation., Problem-Solving Skills - Proficiency in identifying issues and developing solutions with creative thinking to approach problems from different angles., SQL Proficiency-Ability to write complex queries and optimize them for performance.",No,Data Scientist Engineer,Senior Software Engineer,100.0,False,speculative,16.0,19-10-2026
PIPE_0109,4,03-06-2026,08-06-2026,,,Toyata,,15-06-2026,,,Replacement,,Urgent,Not Resourced,SC or C - EM,50,,No,,Solution Consultant,50.0,False,speculative,16.0,05-10-2026
PIPE_0110,4,03-06-2026,08-06-2026,,Gold,Chevy,,15-06-2026,No ,Build the Proposition,Build the Proposition,Core Reporting,Complete,Resourced,AP,12.5,,No,,Associate Partner,12.5,False,speculative,16.0,05-10-2026
PIPE_0111,4,03-06-2026,08-06-2026,,Gold,,,15-06-2026,,,,,Complete,Resourced,PA  ,12.5,,No,,Associate Partner,12.5,False,speculative,16.0,05-10-2026
PIPE_0112,4,03-06-2026,08-06-2026,,Gold,,,15-06-2026,,,,,Complete,Resourced,M,50,,No,,Manager,50.0,False,speculative,16.0,05-10-2026
PIPE_0113,4,03-06-2026,08-06-2026,,Gold,,,15-06-2026,,,,,Complete,Resourced,SAC,100,,No,,Senior Associate Consultant,100.0,False,speculative,16.0,05-10-2026
PIPE_0114,4,03-06-2026,08-06-2026,,Gold,,,15-06-2026,,,,,Complete,Resourced,Sol Con  ,50,"Project Management - Skills in planning, executing, and managing projects to meet deadlines and manage resources effectively., Adaptability - Flexibility to adapt to changing client needs and environments., Project Management - Skills in planning, executing, and managing projects to meet deadlines and manage resources effectively.",No,,Solution Consultant,50.0,False,speculative,16.0,05-10-2026
PIPE_0115,4,03-06-2026,08-06-2026,,Gold,,,15-06-2026,,,,,Complete,Resourced,Enabler  ,100,"GraphQL, JavaScript, API Security best practices",No,,Solutions Enabler,100.0,False,speculative,16.0,05-10-2026
PIPE_0116,4,03-06-2026,08-06-2026,,Gold,,,15-06-2026,,,,,Urgent,Not Resourced,SSE,100,"Kubernetes, security groups, Tracing",No,,Senior Software Engineer,100.0,False,speculative,16.0,05-10-2026
