project_id,project_start_date,project_end_date,type_of_project,project_status,reporter_id,approver_id,CLIENT_ID,tech_coe,proposition_coe,is_active_project,is_overrunning,days_until_end,ramp_down_window,tech_coe_primary
CLIENT_15_008,13-04-2026,20-04-2026,Client Project,PROPOSE,EMP1021,EMP1021,CLIENT_15,Data Engineering;BI and Reporting,Core Reporting,False,False,-68,none,Data Engineering
CLIENT_9_169,10-07-2023,28-07-2023,Client Project,COMPLETE,EMP333,EMP425,CLIENT_9,,,False,False,-1065,none,
CLIENT_16_003,15-09-2025,10-10-2025,Client Project,COMPLETE,EMP907,EMP754,CLIENT_16,Consulting,Value Creation,False,False,-260,none,Consulting
CLIENT_17_008,27-11-2023,22-12-2023,Client Project,COMPLETE,EMP474,EMP474,CLIENT_17,,Core Reporting,False,False,-918,none,
CLIENT_18_025,01-09-2024,31-12-2024,Managed Services,COMPLETE,EMP649,EMP490,CLIENT_18,Full Stack Engineering,Managed Services,False,False,-543,none,Full Stack Engineering
CLIENT_19_010,08-12-2025,12-01-2026,Client Project,COMPLETE,EMP847,EMP68,CLIENT_19,Data Science & ML,Value Creation,False,False,-166,none,Data Science & ML
CLIENT_20_008,16-02-2022,30-09-2022,Client Project,COMPLETE,EMP903,EMP762,CLIENT_20,,,False,False,-1366,none,
CLIENT_21_012,30-11-2020,29-01-2021,Client Project,COMPLETE,EMP263,,CLIENT_21,,,False,False,-1975,none,
CLIENT_22_004,03-10-2022,01-01-2023,Client Project,COMPLETE,EMP1031,EMP1031,CLIENT_22,,,False,False,-1273,none,
CLIENT_23_007,12-09-2024,29-12-2024,Managed Services,COMPLETE,EMP233,EMP233,CLIENT_23,Data Engineering,Core Reporting,False,False,-545,none,Data Engineering
CLIENT_24_004,22-06-2026,17-08-2026,Client Project,PROPOSE,EMP276,EMP490,CLIENT_24,BI and Reporting,Core Reporting,False,False,51,none,BI and Reporting
CLIENT_25_018,01-04-2026,24-06-2026,Managed Services,ACTIVE,EMP167,EMP102,CLIENT_25,TechOps and Automation,Managed Service,True,True,-3,none,TechOps and Automation
CLIENT_9_164,16-01-2023,30-09-2023,Internal Project,COMPLETE,EMP1042,EMP355,CLIENT_9,,,False,False,-1001,none,
CLIENT_26_001,01-03-2023,31-12-2023,Client Project,COMPLETE,EMP973,EMP603,CLIENT_26,,,False,False,-909,none,
CLIENT_12_023,01-10-2024,30-12-2024,Managed Services,COMPLETE,EMP676,EMP78,CLIENT_12,Full Stack Engineering,Managed Services,False,False,-544,none,Full Stack Engineering
CLIENT_27_001,07-04-2025,20-06-2025,Client Project,COMPLETE,EMP276,EMP357,CLIENT_27,Data Science & ML,Value Creation,False,False,-372,none,Data Science & ML
CLIENT_28_011,01-10-2021,31-10-2021,Client Project,COMPLETE,EMP263,,CLIENT_28,,,False,False,-1700,none,
CLIENT_29_,01-01-1970,01-01-1970,Client Project,DEAL LOST,EMP1012,EMP1012,CLIENT_29,,,False,False,-20631,none,
CLIENT_25_003,23-03-2021,30-11-2021,Client Project,COMPLETE,EMP903,EMP233,CLIENT_25,,,False,False,-1670,none,
CLIENT_30_005,21-10-2024,10-11-2024,Client Project,COMPLETE,EMP833,EMP438,CLIENT_30,Data Engineering,Exit Support,False,False,-594,none,Data Engineering
CLIENT_31_007,20-04-2026,10-08-2026,Client Project,ACTIVE,EMP678,EMP62,CLIENT_31,Data Engineering;BI and Reporting,Core Reporting,True,False,44,60_days,Data Engineering
CLIENT_32_001,25-08-2025,13-10-2025,Client Project,COMPLETE,EMP359,EMP648,CLIENT_32,Data Engineering,Managed Services,False,False,-257,none,Data Engineering
CLIENT_23_016,22-09-2025,13-03-2026,Client Project,COMPLETE,EMP601,EMP249,CLIENT_23,Data Engineering;Consulting,Core Reporting,False,False,-106,none,Data Engineering
CLIENT_33_003,03-10-2019,31-12-2019,Client Project,COMPLETE,,,CLIENT_33,,,False,False,-2370,none,
CLIENT_34_006,01-10-2019,01-10-2020,Client Project,COMPLETE,,,CLIENT_34,,,False,False,-2095,none,
CLIENT_35_003,05-01-2026,02-02-2026,Client Project,COMPLETE,EMP370,EMP252,CLIENT_35,Data Engineering,Value Creation,False,False,-145,none,Data Engineering
CLIENT_36_002,08-09-2025,07-12-2025,Client Project,COMPLETE,EMP346,EMP636,CLIENT_36,BI and Reporting;Data Engineering;Consulting,Exit Support,False,False,-202,none,BI and Reporting
CLIENT_37_005,12-05-2025,22-06-2025,Client Project,CLOSED,EMP320,EMP320,CLIENT_37,Data Engineering;BI and Reporting,Core Reporting,False,False,-370,none,Data Engineering
CLIENT_38_001,13-11-2024,08-01-2025,Client Project,CLOSED,EMP833,EMP973,CLIENT_38,Consulting,Data Advisory,False,False,-535,none,Consulting
CLIENT_39_037,01-06-2022,01-06-2022,Client Project,COMPLETE,,,CLIENT_39,,,False,False,-1487,none,
CLIENT_20_018,01-12-2022,30-04-2023,Client Project,COMPLETE,EMP22,EMP22,CLIENT_20,,,False,False,-1154,none,
CLIENT_25_013,21-10-2024,29-12-2024,Client Project,COMPLETE,EMP167,EMP167,CLIENT_25,Data Engineering,Core Reporting,False,False,-545,none,Data Engineering
CLIENT_40_002,23-08-2024,08-10-2024,Client Project,COMPLETE,EMP688,EMP425,CLIENT_40,Analytical Engineering;Data Engineering,Value Creation,False,False,-627,none,Analytical Engineering
CLIENT_41_012,01-08-2022,09-12-2022,Client Project,COMPLETE,EMP1031,EMP1031,CLIENT_41,,,False,False,-1296,none,
CLIENT_9_173,28-08-2023,29-12-2023,Client Project,COMPLETE,EMP233,EMP277,CLIENT_9,,,False,False,-911,none,
CLIENT_42_010,31-07-2023,31-12-2023,Client Project,COMPLETE,EMP661,EMP661,CLIENT_42,,Exit Support,False,False,-909,none,
CLIENT_43_013,11-10-2021,26-11-2021,Client Project,COMPLETE,EMP385,EMP385,CLIENT_43,,,False,False,-1674,none,
CLIENT_44_002,26-01-2026,23-03-2026,Client Project,ACTIVE,EMP754,EMP91,CLIENT_44,Data Engineering;BI and Reporting,Exit Support,True,True,-96,none,Data Engineering
CLIENT_15_001,15-03-2024,28-06-2024,Client Project,COMPLETE,EMP1031,EMP535,CLIENT_15,Data Science;Data Engineering,Exit Support,False,False,-729,none,Data Science
CLIENT_45_002,05-08-2019,31-08-2019,Client Project,COMPLETE,,,CLIENT_45,,,False,False,-2492,none,
CLIENT_9_186,01-01-2024,31-12-2026,Internal Project,ACTIVE,EMP192,EMP1036,CLIENT_9,,,True,False,187,none,
CLIENT_15_006,18-06-2025,02-07-2025,Client Project,COMPLETE,EMP62,EMP445,CLIENT_15,Data Engineering;BI and Reporting,Core Reporting,False,False,-360,none,Data Engineering
CLIENT_24_002,19-01-2026,19-06-2026,Client Project,ACTIVE,EMP276,EMP438,CLIENT_24,Data Engineering;BI and Reporting,Core Reporting,True,True,-8,none,Data Engineering
CLIENT_9_210,29-07-2024,31-12-2026,Internal Project,ACTIVE,EMP529,EMP648,CLIENT_9,,,True,False,187,none,
CLIENT_46_003,07-08-2023,25-09-2023,Client Project,COMPLETE,EMP1036,EMP903,CLIENT_46,,Core Reporting,False,False,-1006,none,
CLIENT_47_002,04-12-2023,12-06-2024,Client Project,COMPLETE,EMP195,EMP195,CLIENT_47,,Core Reporting,False,False,-745,none,
CLIENT_48_004,20-09-2023,31-08-2026,Managed Services,ACTIVE,EMP596,EMP102,CLIENT_48,TechOps and Automation,Managed Services,True,False,65,90_days,TechOps and Automation
CLIENT_43_017,20-02-2022,31-05-2022,Client Project,COMPLETE,EMP385,EMP385,CLIENT_43,,,False,False,-1488,none,
CLIENT_49_005,10-05-2025,12-09-2025,Client Project,COMPLETE,EMP320,EMP151,CLIENT_49,Data Engineering;BI and Reporting;Consulting,Core Reporting,False,False,-288,none,Data Engineering
CLIENT_9_206,24-06-2024,31-12-2026,Internal Project,COMPLETE,EMP567,EMP952,CLIENT_9,,,False,False,187,none,
CLIENT_12_012,03-07-2023,29-09-2023,Client Project,COMPLETE,EMP676,EMP676,CLIENT_12,,Managed Services,False,False,-1002,none,
CLIENT_43_021,22-10-2018,29-02-2020,Client Project,COMPLETE,EMP533,EMP533,CLIENT_43,,,False,False,-2310,none,
CLIENT_50_001,15-06-2021,23-07-2021,Client Project,COMPLETE,EMP263,,CLIENT_50,,,False,False,-1800,none,
CLIENT_51_004,08-09-2025,21-09-2025,Client Project,COMPLETE,EMP609,EMP904,CLIENT_51,BI and Reporting,Exit Support,False,False,-279,none,BI and Reporting
CLIENT_52_003,02-06-2025,20-06-2025,Client Project,COMPLETE,EMP1036,EMP64,CLIENT_52,BI and Reporting;Consulting,Core Reporting,False,False,-372,none,BI and Reporting
CLIENT_43_024,04-02-2019,14-06-2019,Client Project,COMPLETE,,,CLIENT_43,,,False,False,-2570,none,
CLIENT_53_017,01-07-2024,30-12-2024,Managed Services,COMPLETE,EMP215,EMP550,CLIENT_53,,Managed Services,False,False,-544,none,
CLIENT_54_001,26-05-2025,07-09-2025,Client Project,COMPLETE,EMP836,EMP973,CLIENT_54,BI and Reporting,Core Reporting,False,False,-293,none,BI and Reporting
CLIENT_55_001,12-07-2024,02-02-2025,Client Project,COMPLETE,EMP615,EMP293,CLIENT_55,Analytical Engineering;Consulting,Exit Support,False,False,-510,none,Analytical Engineering
CLIENT_56_003,01-12-2025,02-03-2026,Client Project,COMPLETE,EMP704,EMP425,CLIENT_56,BI and Reporting,Core Reporting,False,False,-117,none,BI and Reporting
CLIENT_57_005,08-03-2021,31-12-2022,Client Project,COMPLETE,EMP210,EMP445,CLIENT_57,,,False,False,-1274,none,
CLIENT_58_001,26-03-2019,03-04-2019,Client Project,COMPLETE,EMP385,EMP385,CLIENT_58,,,False,False,-2642,none,
CLIENT_59_015,28-08-2024,04-09-2024,Client Project,COMPLETE,EMP768,EMP768,CLIENT_59,Data Engineering,Data and Reporting,False,False,-661,none,Data Engineering
CLIENT_23_003,17-06-2024,06-09-2024,Client Project,COMPLETE,EMP306,EMP636,CLIENT_23,Data Engineering;Data Governance;Analytical Engineering,Core Reporting,False,False,-659,none,Data Engineering
CLIENT_60_002,21-10-2019,06-12-2019,Client Project,COMPLETE,,EMP9,CLIENT_60,,,False,False,-2395,none,
CLIENT_43_032,02-05-2023,02-05-2023,Client Project,COMPLETE,EMP231,EMP231,CLIENT_43,,,False,False,-1152,none,
CLIENT_61_001,14-12-2024,24-02-2025,Client Project,COMPLETE,EMP684,EMP438,CLIENT_61,Analytical Engineering,Exit Support,False,False,-488,none,Analytical Engineering
CLIENT_42_016,02-04-2024,26-04-2024,Client Project,COMPLETE,EMP314,EMP426,CLIENT_42,,Exit Support,False,False,-792,none,
CLIENT_62_001,02-06-2025,11-07-2025,Client Project,COMPLETE,EMP333,EMP428,CLIENT_62,BI and Reporting,Core Reporting,False,False,-351,none,BI and Reporting
CLIENT_63_001,09-10-2023,20-10-2023,Client Project,COMPLETE,EMP308,EMP398,CLIENT_63,,Exit Support,False,False,-981,none,
CLIENT_64_002,04-05-2026,18-05-2026,Client Project,ACTIVE,EMP732,EMP215,CLIENT_64,Data Engineering;BI and Reporting;TechOps and Automation,Managed Service,True,True,-40,none,Data Engineering
CLIENT_59_001,26-11-2021,28-01-2022,Client Project,COMPLETE,EMP474,EMP474,CLIENT_59,,,False,False,-1611,none,
CLIENT_65_011,10-04-2024,09-08-2024,Client Project,COMPLETE,EMP479,EMP167,CLIENT_65,,Exit Support,False,False,-687,none,
CLIENT_65_008,03-01-2023,27-01-2023,Client Project,COMPLETE,EMP557,EMP557,CLIENT_65,,,False,False,-1247,none,
CLIENT_66_001,06-04-2026,01-05-2026,Client Project,COMPLETE,EMP479,EMP426,CLIENT_66,Data Engineering,Data Advisory,False,False,-57,none,Data Engineering
CLIENT_67_002,24-03-2025,18-04-2025,Client Project,COMPLETE,EMP436,EMP436,CLIENT_67,Consulting,Core Reporting,False,False,-435,none,Consulting
CLIENT_9_062,14-03-2022,22-04-2022,Internal Project,COMPLETE,EMP483,EMP973,CLIENT_9,,,False,False,-1527,none,
CLIENT_42_006,03-04-2023,28-07-2023,Client Project,COMPLETE,EMP661,EMP661,CLIENT_42,,,False,False,-1065,none,
CLIENT_68_004,05-01-2024,07-03-2024,Client Project,COMPLETE,EMP22,EMP762,CLIENT_68,,Exit Support,False,False,-842,none,
CLIENT_69_003,14-04-2022,06-05-2022,Client Project,COMPLETE,,,CLIENT_69,,,False,False,-1513,none,
CLIENT_43_006,06-09-2020,30-10-2020,Client Project,COMPLETE,,,CLIENT_43,,,False,False,-2066,none,
CLIENT_70_001,18-02-2019,12-04-2019,Client Project,COMPLETE,EMP120,EMP120,CLIENT_70,,,False,False,-2633,none,
CLIENT_71_001,09-06-2025,30-11-2025,Client Project,ACTIVE,EMP754,EMP596,CLIENT_71,BI and Reporting,Core Reporting,True,True,-209,none,BI and Reporting
CLIENT_72_017,18-05-2026,01-06-2026,Client Project,PROPOSE,EMP64,EMP64,CLIENT_72,BI and Reporting,Value Creation,False,False,-26,none,BI and Reporting
CLIENT_73_002,11-12-2023,23-02-2024,Client Project,COMPLETE,EMP1031,EMP559,CLIENT_73,,Exit Support,False,False,-855,none,
CLIENT_74_001,07-02-2021,19-03-2021,Client Project,COMPLETE,EMP385,EMP385,CLIENT_74,,,False,False,-1926,none,
CLIENT_75_005,27-04-2026,08-06-2026,Client Project,ACTIVE,EMP812,EMP231,CLIENT_75,Consulting,Data Advisory,True,True,-19,none,Consulting
CLIENT_76_003,19-05-2025,08-08-2025,Client Project,COMPLETE,EMP314,EMP398,CLIENT_76,Data Engineering;Full Stack Engineering,Core Reporting,False,False,-323,none,Data Engineering
CLIENT_77_002,15-03-2023,31-07-2023,Client Project,COMPLETE,EMP1031,EMP231,CLIENT_77,,,False,False,-1062,none,
CLIENT_78_001,05-02-2024,24-04-2024,Client Project,COMPLETE,EMP320,EMP529,CLIENT_78,,Core Reporting,False,False,-794,none,
CLIENT_79_005,04-08-2025,17-08-2025,Client Project,COMPLETE,EMP40,EMP791,CLIENT_79,BI and Reporting,Managed Services,False,False,-314,none,BI and Reporting
CLIENT_80_004,10-03-2024,31-08-2026,Managed Services,ACTIVE,EMP1036,EMP610,CLIENT_80,TechOps and Automation,Managed Services,True,False,65,90_days,TechOps and Automation
CLIENT_81_002,08-07-2019,30-08-2019,Client Project,COMPLETE,EMP801,EMP801,CLIENT_81,,,False,False,-2493,none,
CLIENT_21_013,30-11-2020,21-01-2021,Client Project,COMPLETE,EMP700,EMP700,CLIENT_21,,,False,False,-1983,none,
CLIENT_82_002,26-01-2026,11-05-2026,Client Project,COMPLETE,EMP452,EMP1015,CLIENT_82,Data Engineering;BI and Reporting,Core Reporting,False,False,-47,none,Data Engineering
CLIENT_83_009,08-07-2024,07-10-2024,Client Project,COMPLETE,EMP749,EMP1010,CLIENT_83,QA,Managed Services,False,False,-628,none,QA
CLIENT_9_083,02-05-2022,10-06-2022,Internal Project,COMPLETE,EMP533,EMP533,CLIENT_9,,,False,False,-1478,none,
CLIENT_9_214,01-08-2024,31-12-2024,Internal Project,COMPLETE,EMP1011,EMP68,CLIENT_9,,,False,False,-543,none,
CLIENT_84_002,15-09-2025,01-03-2026,Client Project,COMPLETE,EMP314,EMP882,CLIENT_84,Data Engineering,Core Reporting,False,False,-118,none,Data Engineering
CLIENT_9_105,04-07-2022,12-08-2022,Internal Project,COMPLETE,EMP385,EMP385,CLIENT_9,,,False,False,-1415,none,
CLIENT_23_006,09-09-2024,03-11-2024,Client Project,CLOSED,EMP937,EMP636,CLIENT_23,Analytical Engineering;Data Engineering;UI/UX,Managed Services,False,False,-601,none,Analytical Engineering
CLIENT_85_001,11-06-2019,31-07-2019,Client Project,COMPLETE,EMP533,EMP533,CLIENT_85,,,False,False,-2523,none,
CLIENT_49_006,20-07-2025,07-08-2025,Client Project,COMPLETE,EMP320,EMP320,CLIENT_49,Data Engineering;BI and Reporting,Core Reporting,False,False,-324,none,Data Engineering
CLIENT_19_008,22-09-2025,12-10-2025,Client Project,CLOSED,EMP847,EMP502,CLIENT_19,,Value Creation,False,False,-258,none,
CLIENT_86_022,24-02-2025,02-03-2025,Client Project,COMPLETE,EMP1012,EMP1011,CLIENT_86,Data Engineering,Core Reporting,False,False,-482,none,Data Engineering
CLIENT_87_003,25-08-2025,19-09-2025,Client Project,COMPLETE,EMP275,EMP348,CLIENT_87,BI and Reporting,Core Reporting,False,False,-281,none,BI and Reporting
CLIENT_88_007,13-03-2023,24-03-2023,Client Project,COMPLETE,EMP937,EMP937,CLIENT_88,,,False,False,-1191,none,
CLIENT_89_003,17-02-2025,16-05-2025,Client Project,COMPLETE,EMP688,EMP971,CLIENT_89,BI and Reporting;Data Engineering,Core Reporting,False,False,-407,none,BI and Reporting
CLIENT_90_001,24-04-2023,26-05-2023,Client Project,COMPLETE,EMP308,EMP308,CLIENT_90,,,False,False,-1128,none,
CLIENT_91_001,13-06-2022,22-07-2022,Client Project,COMPLETE,EMP408,EMP408,CLIENT_91,,,False,False,-1436,none,
CLIENT_92_002,01-07-2022,02-09-2022,Client Project,COMPLETE,EMP533,EMP533,CLIENT_92,,,False,False,-1394,none,
CLIENT_9_128,12-09-2022,02-12-2022,Internal Project,COMPLETE,EMP474,EMP474,CLIENT_9,,,False,False,-1303,none,
CLIENT_93_001,08-04-2024,03-05-2024,Client Project,COMPLETE,EMP935,EMP245,CLIENT_93,Data Science,Value Creation,False,False,-785,none,Data Science
CLIENT_59_003,25-04-2022,01-07-2022,Client Project,COMPLETE,EMP474,EMP233,CLIENT_59,,,False,False,-1457,none,
CLIENT_94_001,06-05-2019,19-07-2019,Client Project,COMPLETE,EMP120,EMP9,CLIENT_94,,,False,False,-2535,none,
CLIENT_54_003,19-01-2026,13-04-2026,Client Project,COMPLETE,EMP230,EMP973,CLIENT_54,Data Engineering;BI and Reporting,Core Reporting,False,False,-75,none,Data Engineering
CLIENT_23_002,22-01-2024,16-06-2024,Client Project,COMPLETE,EMP306,EMP579,CLIENT_23,,Exit Support,False,False,-741,none,
CLIENT_9_072,14-03-2022,22-04-2022,Internal Project,COMPLETE,EMP308,EMP308,CLIENT_9,,,False,False,-1527,none,
CLIENT_95_001,07-04-2025,07-07-2025,Client Project,COMPLETE,EMP907,EMP215,CLIENT_95,BI and Reporting;Consulting,Core Reporting,False,False,-355,none,BI and Reporting
CLIENT_9_021,01-01-2020,31-12-2022,Internal Project,COMPLETE,EMP958,EMP845,CLIENT_9,,,False,False,-1274,none,
CLIENT_96_003,05-06-2023,23-06-2023,Client Project,COMPLETE,EMP306,EMP958,CLIENT_96,,,False,False,-1100,none,
CLIENT_97_001,25-05-2026,22-06-2026,Client Project,ACTIVE,EMP609,EMP609,CLIENT_97,Data Science & ML,Value Creation,True,True,-5,none,Data Science & ML
CLIENT_98_002,01-01-2021,30-06-2023,Client Project,COMPLETE,EMP492,EMP848,CLIENT_98,,,False,False,-1093,none,
CLIENT_99_002,19-08-2019,31-12-2019,Client Project,COMPLETE,EMP533,EMP9,CLIENT_99,,,False,False,-2370,none,
CLIENT_100_001,17-03-2025,13-06-2025,Client Project,COMPLETE,EMP479,EMP648,CLIENT_100,Data Engineering,Core Reporting,False,False,-379,none,Data Engineering
CLIENT_9_038,27-05-2020,31-12-2021,Internal Project,COMPLETE,EMP700,EMP700,CLIENT_9,,,False,False,-1639,none,
CLIENT_9_174,28-09-2023,26-01-2024,Internal Project,COMPLETE,EMP54,EMP54,CLIENT_9,,,False,False,-883,none,
CLIENT_101_002,21-11-2022,25-11-2022,Client Project,COMPLETE,EMP596,EMP596,CLIENT_101,,,False,False,-1310,none,
CLIENT_9_017,04-02-2019,31-12-2022,Internal Project,COMPLETE,EMP263,EMP263,CLIENT_9,,,False,False,-1274,none,
CLIENT_102_001,20-10-2025,16-11-2025,Client Project,CLOSED,EMP811,EMP811,CLIENT_102,BI and Reporting,Core Reporting,False,False,-223,none,BI and Reporting
CLIENT_9_009,01-02-2019,30-04-2019,Internal Project,COMPLETE,EMP821,EMP821,CLIENT_9,,,False,False,-2615,none,
CLIENT_103_015,19-09-2024,23-09-2024,Client Project,COMPLETE,EMP596,EMP609,CLIENT_103,,Due Diligence,False,False,-642,none,
CLIENT_104_002,11-12-2023,05-01-2024,Client Project,COMPLETE,EMP684,EMP245,CLIENT_104,,Core Reporting,False,False,-904,none,
CLIENT_22_002,26-09-2022,30-09-2022,Client Project,COMPLETE,EMP1031,EMP1031,CLIENT_22,,,False,False,-1366,none,
CLIENT_39_008,01-03-2021,08-09-2022,Client Project,COMPLETE,EMP308,EMP308,CLIENT_39,,,False,False,-1388,none,
CLIENT_105_006,07-08-2023,26-01-2024,Client Project,COMPLETE,EMP408,EMP683,CLIENT_105,,Core Reporting,False,False,-883,none,
CLIENT_9_045,01-02-2021,30-04-2021,Internal Project,COMPLETE,EMP263,,CLIENT_9,,,False,False,-1884,none,
CLIENT_106_001,16-09-2021,31-12-2022,Client Project,COMPLETE,EMP263,EMP263,CLIENT_106,,,False,False,-1274,none,
CLIENT_57_002,04-02-2020,18-02-2020,Client Project,COMPLETE,EMP308,EMP308,CLIENT_57,,,False,False,-2321,none,
CLIENT_9_047,14-03-2022,22-04-2022,Internal Project,COMPLETE,EMP385,EMP385,CLIENT_9,,,False,False,-1527,none,
CLIENT_107_002,19-12-2022,24-03-2023,Client Project,COMPLETE,EMP958,EMP398,CLIENT_107,,,False,False,-1191,none,
CLIENT_49_002,22-09-2025,12-12-2025,Client Project,COMPLETE,EMP320,EMP899,CLIENT_49,Data Engineering;BI and Reporting,Core Reporting,False,False,-197,none,Data Engineering
CLIENT_20_024,13-03-2023,31-05-2023,Client Project,COMPLETE,,,CLIENT_20,,,False,False,-1123,none,
CLIENT_108_002,14-08-2024,13-12-2024,Client Project,COMPLETE,EMP557,EMP971,CLIENT_108,Analytical Engineering,Core Reporting,False,False,-561,none,Analytical Engineering
CLIENT_109_002,07-04-2025,07-05-2025,Client Project,COMPLETE,EMP732,EMP370,CLIENT_109,Data Science & ML,Value Creation,False,False,-416,none,Data Science & ML
CLIENT_110_003,22-11-2020,31-12-2020,Client Project,COMPLETE,,,CLIENT_110,,,False,False,-2004,none,
CLIENT_111_001,19-12-2022,23-12-2022,Client Project,COMPLETE,EMP684,EMP684,CLIENT_111,,,False,False,-1282,none,
CLIENT_112_005,16-04-2019,24-05-2019,Client Project,COMPLETE,EMP821,EMP821,CLIENT_112,,,False,False,-2591,none,
CLIENT_113_001,21-08-2024,11-10-2024,Client Project,COMPLETE,EMP747,EMP579,CLIENT_113,Data Engineering,Core Reporting,False,False,-624,none,Data Engineering
CLIENT_18_017,01-09-2022,31-12-2022,Client Project,COMPLETE,EMP958,EMP233,CLIENT_18,,,False,False,-1274,none,
CLIENT_114_002,24-02-2025,16-03-2025,Client Project,COMPLETE,EMP44,EMP937,CLIENT_114,Consulting,Data Advisory,False,False,-468,none,Consulting
CLIENT_115_002,30-03-2026,29-06-2026,Client Project,ACTIVE,EMP906,EMP683,CLIENT_115,BI and Reporting,Exit Support,True,False,2,30_days,BI and Reporting
CLIENT_43_029,16-04-2021,08-09-2022,Client Project,COMPLETE,EMP821,EMP821,CLIENT_43,,,False,False,-1388,none,
CLIENT_98_008,26-06-2023,28-06-2024,Client Project,COMPLETE,EMP233,EMP277,CLIENT_98,,Core Reporting,False,False,-729,none,
CLIENT_116_002,06-07-2026,13-07-2026,Client Project,PROPOSE,EMP847,EMP68,CLIENT_116,Gen AI;Data Science & ML,Value Creation,False,False,16,none,Gen AI
CLIENT_43_004,02-08-2020,22-01-2021,Client Project,COMPLETE,,,CLIENT_43,,,False,False,-1982,none,
CLIENT_117_004,16-04-2021,31-05-2021,Client Project,COMPLETE,,EMP408,CLIENT_117,,,False,False,-1853,none,
CLIENT_59_009,27-09-2023,24-11-2023,Client Project,COMPLETE,EMP1012,EMP68,CLIENT_59,,,False,False,-946,none,
CLIENT_118_001,27-07-2020,31-08-2020,Client Project,COMPLETE,EMP700,EMP700,CLIENT_118,,,False,False,-2126,none,
CLIENT_119_001,28-05-2026,02-07-2026,Client Project,PROPOSE,EMP902,EMP902,CLIENT_119,Consulting;Data Engineering;BI and Reporting,Data Advisory,False,False,5,none,Consulting
CLIENT_120_025,01-07-2025,29-09-2025,Client Project,COMPLETE,EMP210,EMP771,CLIENT_120,Data Engineering,Core Reporting,False,False,-271,none,Data Engineering
CLIENT_9_211,31-07-2024,04-09-2024,Internal Project,COMPLETE,EMP579,EMP445,CLIENT_9,,,False,False,-661,none,
CLIENT_86_005,11-04-2022,28-10-2022,Client Project,COMPLETE,EMP1036,EMP1011,CLIENT_86,,,False,False,-1338,none,
CLIENT_121_001,18-04-2023,18-06-2023,Client Project,COMPLETE,EMP1012,EMP1012,CLIENT_121,,,False,False,-1105,none,
CLIENT_122_003,04-08-2025,28-12-2025,Client Project,ACTIVE,EMP688,EMP47,CLIENT_122,Consulting;BI and Reporting,Exit Support,True,True,-181,none,Consulting
CLIENT_123_002,20-02-2023,06-03-2023,Client Project,COMPLETE,EMP1036,EMP973,CLIENT_123,,,False,False,-1209,none,
CLIENT_9_209,29-07-2024,03-01-2025,Internal Project,COMPLETE,EMP336,EMP336,CLIENT_9,,,False,False,-540,none,
