competency_id,employee_id,designation,coe,dimension_label,dimension_short,score,score_label
COMP_00047,EMP618,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,2,developing
COMP_00048,EMP701,Solutions Enabler,Power BI & Consulting,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,3,proficient
COMP_00049,EMP78,Solutions Enabler,Power BI & Consulting,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00050,EMP442,Solutions Enabler,Full Stack,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00051,EMP551,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,2,developing
COMP_00052,EMP95,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,4,advanced
COMP_00053,EMP102,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00054,EMP403,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,2,developing
COMP_00055,EMP899,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00056,EMP91,Solutions Enabler,Power BI & Consulting,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,4,advanced
COMP_00057,EMP366,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00058,EMP941,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00059,EMP528,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00060,EMP603,Solutions Enabler,Full Stack,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,5,expert
COMP_00061,EMP1020,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,2,developing
COMP_00062,EMP933,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,1,basic
COMP_00063,EMP861,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00064,EMP451,Solutions Enabler,Data Science & AI,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00065,EMP468,Solutions Enabler,Data Science & AI,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00066,EMP456,Solutions Enabler,Full Stack,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00067,EMP190,Solutions Enabler,Full Stack,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,4,advanced
COMP_00068,EMP594,Solutions Enabler,Full Stack,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00069,EMP1034,Solutions Enabler,Data Science & AI,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,2,developing
COMP_00070,EMP6,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,4,advanced
COMP_00071,EMP662,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00072,EMP239,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,4,advanced
COMP_00073,EMP673,Solutions Enabler,Data Science & AI,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,5,expert
COMP_00074,EMP90,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,2,developing
COMP_00075,EMP249,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,5,expert
COMP_00076,EMP702,Solutions Enabler,Data Science & AI,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00077,EMP531,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00078,EMP547,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,5,expert
COMP_00079,EMP386,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,1,basic
COMP_00080,EMP581,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00081,EMP185,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,5,expert
COMP_00082,EMP921,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00083,EMP397,Solutions Enabler,Data Science & AI,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00084,EMP373,Solutions Enabler,Data Science & AI,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00085,EMP803,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00086,EMP623,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,5,expert
COMP_00087,EMP1033,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,5,expert
COMP_00088,EMP646,Solutions Enabler,Power BI & Consulting,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,2,developing
COMP_00089,EMP950,Solutions Enabler,Power BI & Consulting,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00090,EMP24,Solutions Enabler,Data Science & AI,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00091,EMP404,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00092,EMP271,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,3,proficient
COMP_00093,EMP943,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,1,basic
COMP_00094,EMP189,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00095,EMP807,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,3,proficient
COMP_00096,EMP498,Solutions Enabler,Power BI & Consulting,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,1,basic
COMP_00097,EMP390,Solutions Enabler,Data Science & AI,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00098,EMP516,Solutions Enabler,Full Stack,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00099,EMP606,Solutions Enabler,Full Stack,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,5,expert
COMP_00100,EMP488,Solutions Enabler,Full Stack,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00101,EMP614,Solutions Enabler,Full Stack,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00102,EMP831,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,1,basic
COMP_00103,EMP618,Solutions Enabler,Data Engineering,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,2,developing
COMP_00104,EMP701,Solutions Enabler,Power BI & Consulting,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00105,EMP78,Solutions Enabler,Power BI & Consulting,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00106,EMP442,Solutions Enabler,Full Stack,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00107,EMP551,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,1,basic
COMP_00108,EMP95,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00109,EMP102,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00110,EMP403,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00111,EMP899,Solutions Enabler,Techops & Automation,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,3,proficient
COMP_00112,EMP91,Solutions Enabler,Power BI & Consulting,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",consulting_advisory,0,not_demonstrated
COMP_00113,EMP366,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,3,proficient
COMP_00114,EMP941,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00115,EMP528,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,4,advanced
COMP_00116,EMP603,Solutions Enabler,Full Stack,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,2,developing
COMP_00117,EMP1020,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,5,expert
COMP_00118,EMP933,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00119,EMP861,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00120,EMP451,Solutions Enabler,Data Science & AI,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,1,basic
COMP_00121,EMP468,Solutions Enabler,Data Science & AI,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,3,proficient
COMP_00122,EMP456,Solutions Enabler,Full Stack,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,1,basic
COMP_00123,EMP190,Solutions Enabler,Full Stack,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00124,EMP594,Solutions Enabler,Full Stack,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,5,expert
COMP_00125,EMP1034,Solutions Enabler,Data Science & AI,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,5,expert
COMP_00126,EMP6,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00127,EMP662,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,2,developing
COMP_00128,EMP239,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00129,EMP673,Solutions Enabler,Data Science & AI,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,3,proficient
COMP_00130,EMP90,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00131,EMP249,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,3,proficient
COMP_00132,EMP702,Solutions Enabler,Data Science & AI,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00133,EMP531,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,5,expert
COMP_00134,EMP547,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00135,EMP386,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00136,EMP581,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00137,EMP185,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00138,EMP921,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00139,EMP397,Solutions Enabler,Data Science & AI,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,5,expert
COMP_00140,EMP373,Solutions Enabler,Data Science & AI,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,5,expert
COMP_00141,EMP803,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,5,expert
COMP_00142,EMP623,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,5,expert
COMP_00143,EMP1033,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00144,EMP646,Solutions Enabler,Power BI & Consulting,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,1,basic
COMP_00145,EMP950,Solutions Enabler,Power BI & Consulting,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00146,EMP24,Solutions Enabler,Data Science & AI,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,5,expert
COMP_00147,EMP404,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,3,proficient
COMP_00148,EMP271,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,3,proficient
COMP_00149,EMP943,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,4,advanced
COMP_00150,EMP189,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,3,proficient
COMP_00151,EMP807,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,5,expert
COMP_00152,EMP498,Solutions Enabler,Power BI & Consulting,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00153,EMP390,Solutions Enabler,Data Science & AI,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,4,advanced
COMP_00154,EMP516,Solutions Enabler,Full Stack,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00155,EMP606,Solutions Enabler,Full Stack,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00156,EMP488,Solutions Enabler,Full Stack,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,2,developing
COMP_00157,EMP614,Solutions Enabler,Full Stack,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00158,EMP831,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00159,EMP618,Solutions Enabler,Data Engineering,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,4,advanced
COMP_00160,EMP701,Solutions Enabler,Power BI & Consulting,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00161,EMP78,Solutions Enabler,Power BI & Consulting,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00162,EMP442,Solutions Enabler,Full Stack,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00163,EMP551,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,1,basic
COMP_00164,EMP95,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,0,not_demonstrated
COMP_00165,EMP102,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,2,developing
COMP_00166,EMP403,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,1,basic
COMP_00167,EMP899,Solutions Enabler,Techops & Automation,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,3,proficient
COMP_00168,EMP91,Solutions Enabler,Power BI & Consulting,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,techno_functional,2,developing
COMP_00169,EMP366,Solutions Enabler,Data Engineering,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,4,advanced
COMP_00170,EMP941,Solutions Enabler,Data Engineering,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,0,not_demonstrated
COMP_00171,EMP528,Solutions Enabler,Techops & Automation,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,1,basic
COMP_00172,EMP603,Solutions Enabler,Full Stack,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,0,not_demonstrated
COMP_00173,EMP1020,Solutions Enabler,Techops & Automation,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,0,not_demonstrated
COMP_00174,EMP933,Solutions Enabler,Data Engineering,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,0,not_demonstrated
COMP_00175,EMP861,Solutions Enabler,Data Engineering,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,0,not_demonstrated
COMP_00176,EMP451,Solutions Enabler,Data Science & AI,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,0,not_demonstrated
COMP_00177,EMP468,Solutions Enabler,Data Science & AI,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,2,developing
COMP_00178,EMP456,Solutions Enabler,Full Stack,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,4,advanced
COMP_00179,EMP190,Solutions Enabler,Full Stack,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,0,not_demonstrated
COMP_00180,EMP594,Solutions Enabler,Full Stack,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,0,not_demonstrated
COMP_00181,EMP1034,Solutions Enabler,Data Science & AI,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,0,not_demonstrated
COMP_00182,EMP6,Solutions Enabler,Techops & Automation,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,0,not_demonstrated
COMP_00183,EMP662,Solutions Enabler,Techops & Automation,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,0,not_demonstrated
COMP_00184,EMP239,Solutions Enabler,Techops & Automation,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,3,proficient
COMP_00185,EMP673,Solutions Enabler,Data Science & AI,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",communication,0,not_demonstrated
